implementation,seq_len,actual_input_len,batch_size,max_new_tokens,median_latency_s,std_latency_s,median_tokens_per_sec,median_ttft_s,median_peak_memory_mb,num_runs
eager,256,256,1,128,1.7729,0.0013,72.2,0.0404,1487.81,5
eager,256,256,2,128,2.1059,0.0012,121.57,0.0815,1535.72,5
eager,256,256,4,128,2.6436,0.0014,193.67,0.16,1623.99,5
eager,512,512,1,128,2.011,0.002,63.65,0.0913,1539.54,5
eager,512,512,2,128,2.5668,0.0012,99.73,0.1816,1637.31,5
eager,512,512,4,128,3.5377,0.0016,144.73,0.3444,1832.85,5
eager,1024,1024,1,128,2.5015,0.0011,51.17,0.2224,1702.31,5
eager,1024,1024,2,128,3.5211,0.0011,72.71,0.4283,1962.85,5
eager,1024,1024,4,128,5.4586,0.0029,93.8,0.8433,2483.93,5
eager,1800,1800,1,128,3.3893,0.0023,37.77,0.5773,2073.78,5
eager,1800,1800,2,128,5.2942,0.0012,48.35,1.1395,2706.02,5
eager,1800,1800,4,128,9.0221,0.0017,56.75,2.29,3969.2,5
sdpa,256,256,1,128,1.6168,0.0012,79.17,0.0348,1485.13,5
sdpa,256,256,2,128,1.8087,0.0005,141.54,0.0689,1532.47,5
sdpa,256,256,4,128,2.0858,0.0011,245.47,0.1363,1615.78,5
sdpa,512,512,1,128,1.7237,0.0009,74.26,0.07,1529.86,5
sdpa,512,512,2,128,2.0281,0.0044,126.23,0.138,1586.4,5
sdpa,512,512,4,128,2.5399,0.0013,201.58,0.2587,1729.83,5
sdpa,1024,1024,1,128,1.953,0.0017,65.54,0.142,1580.31,5
sdpa,1024,1024,2,128,2.4529,0.0021,104.37,0.2667,1718.85,5
sdpa,1024,1024,4,128,3.4727,0.001,147.44,0.5193,1995.93,5
sdpa,1800,1800,1,128,2.2802,0.0015,56.13,0.2525,1686.28,5
sdpa,1800,1800,2,128,3.1148,0.0025,82.19,0.485,1929.8,5
sdpa,1800,1800,4,128,4.9365,0.0019,103.72,0.9679,2416.79,5
