implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
eager,256,1,128,1,1.773,0.04,1487.81
eager,256,1,128,2,1.7711,0.0401,1487.81
eager,256,1,128,3,1.7729,0.0404,1487.81
eager,256,1,128,4,1.7703,0.0405,1487.81
eager,256,1,128,5,1.7733,0.0404,1487.81
eager,256,2,128,1,2.1081,0.0804,1535.71
eager,256,2,128,2,2.1061,0.0811,1535.72
eager,256,2,128,3,2.1055,0.0816,1535.72
eager,256,2,128,4,2.1053,0.0815,1535.72
eager,256,2,128,5,2.1059,0.0815,1535.72
eager,256,4,128,1,2.6452,0.1588,1623.98
eager,256,4,128,2,2.6436,0.16,1623.99
eager,256,4,128,3,2.6442,0.1601,1623.99
eager,256,4,128,4,2.6429,0.1602,1623.99
eager,256,4,128,5,2.6416,0.1598,1623.99
eager,512,1,128,1,2.011,0.0906,1539.54
eager,512,1,128,2,2.0101,0.0912,1539.54
eager,512,1,128,3,2.0094,0.0913,1539.54
eager,512,1,128,4,2.0145,0.0917,1539.54
eager,512,1,128,5,2.0124,0.0917,1539.54
eager,512,2,128,1,2.5689,0.1807,1637.3
eager,512,2,128,2,2.5675,0.1816,1637.31
eager,512,2,128,3,2.5667,0.1815,1637.31
eager,512,2,128,4,2.5657,0.1821,1637.31
eager,512,2,128,5,2.5668,0.1818,1637.31
eager,512,4,128,1,3.5391,0.3433,1832.83
eager,512,4,128,2,3.5368,0.3443,1832.85
eager,512,4,128,3,3.536,0.3444,1832.85
eager,512,4,128,4,3.5377,0.3444,1832.85
eager,512,4,128,5,3.5401,0.3445,1832.85
eager,1024,1,128,1,2.5015,0.2215,1702.31
eager,1024,1,128,2,2.5025,0.2225,1702.31
eager,1024,1,128,3,2.5011,0.2224,1702.31
eager,1024,1,128,4,2.5011,0.2226,1702.31
eager,1024,1,128,5,2.5036,0.2223,1702.31
eager,1024,2,128,1,3.5211,0.4275,1962.84
eager,1024,2,128,2,3.5197,0.4283,1962.85
eager,1024,2,128,3,3.5225,0.4285,1962.85
eager,1024,2,128,4,3.5204,0.429,1962.85
eager,1024,2,128,5,3.5217,0.4283,1962.85
eager,1024,4,128,1,5.4581,0.8425,2483.9
eager,1024,4,128,2,5.4581,0.8433,2483.93
eager,1024,4,128,3,5.461,0.8437,2483.93
eager,1024,4,128,4,5.4649,0.8432,2483.93
eager,1024,4,128,5,5.4586,0.8435,2483.93
eager,1800,1,128,1,3.3893,0.5767,2073.76
eager,1800,1,128,2,3.3909,0.5774,2073.78
eager,1800,1,128,3,3.3896,0.5773,2073.78
eager,1800,1,128,4,3.3871,0.5774,2073.78
eager,1800,1,128,5,3.385,0.5772,2073.78
eager,1800,2,128,1,5.2954,1.1395,2705.99
eager,1800,2,128,2,5.2942,1.1422,2706.02
eager,1800,2,128,3,5.2932,1.1396,2706.02
eager,1800,2,128,4,5.2956,1.1395,2706.02
eager,1800,2,128,5,5.293,1.1393,2706.02
eager,1800,4,128,1,9.0192,2.2889,3969.14
eager,1800,4,128,2,9.0217,2.2896,3969.2
eager,1800,4,128,3,9.0221,2.2923,3969.2
eager,1800,4,128,4,9.0235,2.2917,3969.2
eager,1800,4,128,5,9.0231,2.29,3969.2
sdpa,256,1,128,1,1.6174,0.0343,1485.13
sdpa,256,1,128,2,1.615,0.0348,1485.13
sdpa,256,1,128,3,1.6176,0.0348,1485.13
sdpa,256,1,128,4,1.6168,0.0349,1485.13
sdpa,256,1,128,5,1.6154,0.0352,1485.13
sdpa,256,2,128,1,1.8089,0.0678,1532.46
