io_ratio,implementation,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
128:512,eager,128,1,512,1,7.2302,0.0208,1531.92
128:512,eager,128,1,512,2,7.22,0.0209,1531.92
128:512,eager,128,1,512,3,7.2476,0.0209,1531.92
128:512,eager,128,1,512,4,7.2306,0.021,1531.92
128:512,eager,128,1,512,5,7.2249,0.021,1531.92
512:128,eager,512,1,128,1,2.0145,0.0909,1539.54
512:128,eager,512,1,128,2,2.0141,0.0918,1539.54
512:128,eager,512,1,128,3,2.016,0.092,1539.54
512:128,eager,512,1,128,4,2.0145,0.092,1539.54
512:128,eager,512,1,128,5,2.0168,0.0919,1539.54
1024:64,eager,1024,1,64,1,1.3452,0.2222,1702.31
1024:64,eager,1024,1,64,2,1.3455,0.2234,1702.31
1024:64,eager,1024,1,64,3,1.3465,0.2235,1702.31
1024:64,eager,1024,1,64,4,1.3445,0.2234,1702.31
1024:64,eager,1024,1,64,5,1.3449,0.2233,1702.31
1800:32,eager,1800,1,32,1,1.2596,0.5768,2075.57
1800:32,eager,1800,1,32,2,1.2553,0.5774,2075.59
1800:32,eager,1800,1,32,3,1.2564,0.5774,2075.59
1800:32,eager,1800,1,32,4,1.2571,0.5779,2075.59
1800:32,eager,1800,1,32,5,1.2559,0.5783,2075.59
128:512,sdpa,128,1,512,1,6.4435,0.0195,1529.84
128:512,sdpa,128,1,512,2,6.4367,0.0194,1529.85
128:512,sdpa,128,1,512,3,6.443,0.0199,1529.85
128:512,sdpa,128,1,512,4,6.4378,0.0199,1529.85
128:512,sdpa,128,1,512,5,6.4461,0.0197,1529.85
512:128,sdpa,512,1,128,1,1.7285,0.0688,1529.85
512:128,sdpa,512,1,128,2,1.7237,0.0699,1529.86
512:128,sdpa,512,1,128,3,1.7235,0.07,1529.86
512:128,sdpa,512,1,128,4,1.724,0.0702,1529.86
512:128,sdpa,512,1,128,5,1.7229,0.0708,1529.86
1024:64,sdpa,1024,1,64,1,1.0367,0.1405,1580.31
1024:64,sdpa,1024,1,64,2,1.0346,0.1419,1580.31
1024:64,sdpa,1024,1,64,3,1.0355,0.1423,1580.31
1024:64,sdpa,1024,1,64,4,1.0405,0.1422,1580.31
1024:64,sdpa,1024,1,64,5,1.0361,0.1425,1580.31
1800:32,sdpa,1800,1,32,1,0.7467,0.2502,1686.26
1800:32,sdpa,1800,1,32,2,0.7458,0.2525,1686.28
1800:32,sdpa,1800,1,32,3,0.7481,0.2526,1686.28
1800:32,sdpa,1800,1,32,4,0.7445,0.2528,1686.28
1800:32,sdpa,1800,1,32,5,0.7452,0.2522,1686.28
