backend,seq_len,batch_size,median_latency_s,median_tokens_per_sec,median_ttft_s,median_peak_memory_mb,std_latency_s,num_runs
flash,256,1,1.6312,78.47,0.0346,1485.13,0.0043,5
flash,256,2,1.8055,141.79,0.0686,1531.41,0.002,5
flash,256,4,2.0846,245.61,0.1356,1615.78,0.0019,5
flash,512,1,1.7286,74.05,0.0699,1529.86,0.0013,5
flash,512,2,2.0254,126.4,0.1373,1586.58,0.0005,5
flash,512,4,2.5402,201.56,0.2575,1730.36,0.0015,5
flash,1024,1,1.9543,65.5,0.1418,1580.31,0.0011,5
flash,1024,2,2.4538,104.33,0.2658,1718.85,0.0012,5
flash,1024,4,3.4733,147.41,0.5188,1995.93,0.0022,5
flash,1800,1,2.2867,55.97,0.2526,1685.79,0.0017,5
flash,1800,2,3.1201,82.05,0.4848,1928.84,0.0018,5
flash,1800,4,4.9393,103.66,0.9679,2416.55,0.0005,5
math,256,1,2.1889,58.48,0.0515,1496.78,0.0023,5
math,256,2,2.8921,88.52,0.1023,1552.15,0.0014,5
math,256,4,4.1765,122.59,0.2012,1660.15,0.0011,5
math,512,1,2.7375,46.76,0.1245,1560.05,0.0031,5
math,512,2,3.9804,64.31,0.2483,1677.33,0.0013,5
math,512,4,6.3326,80.85,0.4736,1911.88,0.0009,5
math,1024,1,3.9634,32.3,0.3367,1752.33,0.0038,5
math,1024,2,6.3838,40.1,0.6524,2058.89,0.0009,5
math,1024,4,11.1642,45.86,1.2853,2672.0,0.0397,5
math,1800,1,6.1778,20.72,0.8311,2185.92,0.0019,5
math,1800,2,10.79,23.73,1.6427,2916.5,0.0008,5
math,1800,4,19.996,25.61,3.2717,4379.77,0.0011,5
