backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,256,1,128,1,1.6397,0.0342,1485.13
flash,256,1,128,2,1.6312,0.0343,1485.13
flash,256,1,128,3,1.6332,0.0347,1485.13
flash,256,1,128,4,1.6286,0.0346,1485.13
flash,256,1,128,5,1.6301,0.0348,1485.13
flash,256,2,128,1,1.8055,0.0675,1531.41
flash,256,2,128,2,1.8021,0.0687,1531.41
flash,256,2,128,3,1.8063,0.0686,1531.41
flash,256,2,128,4,1.8054,0.0686,1531.41
flash,256,2,128,5,1.8073,0.0686,1531.41
flash,256,4,128,1,2.0874,0.1342,1615.76
flash,256,4,128,2,2.0874,0.1358,1615.78
flash,256,4,128,3,2.0846,0.1356,1615.78
flash,256,4,128,4,2.0836,0.1356,1615.78
flash,256,4,128,5,2.0837,0.1355,1615.78
flash,512,1,128,1,1.7271,0.0689,1529.85
flash,512,1,128,2,1.7297,0.0696,1529.86
flash,512,1,128,3,1.7273,0.0699,1529.86
flash,512,1,128,4,1.73,0.0703,1529.86
flash,512,1,128,5,1.7286,0.0703,1529.86
flash,512,2,128,1,2.0262,0.1359,1586.57
flash,512,2,128,2,2.0252,0.1374,1586.58
flash,512,2,128,3,2.0254,0.1374,1586.58
flash,512,2,128,4,2.0254,0.1373,1586.58
flash,512,2,128,5,2.0248,0.1372,1586.58
flash,512,4,128,1,2.5402,0.2551,1730.34
flash,512,4,128,2,2.5405,0.2571,1730.36
flash,512,4,128,3,2.5393,0.2579,1730.36
flash,512,4,128,4,2.5398,0.2584,1730.36
flash,512,4,128,5,2.5432,0.2575,1730.36
flash,1024,1,128,1,1.9567,0.1401,1580.31
flash,1024,1,128,2,1.9539,0.1416,1580.31
flash,1024,1,128,3,1.9552,0.1419,1580.31
flash,1024,1,128,4,1.9543,0.1419,1580.31
flash,1024,1,128,5,1.9543,0.1418,1580.31
flash,1024,2,128,1,2.4538,0.2633,1718.84
flash,1024,2,128,2,2.4517,0.2657,1718.85
flash,1024,2,128,3,2.4542,0.2658,1718.85
flash,1024,2,128,4,2.4529,0.2671,1718.85
flash,1024,2,128,5,2.4547,0.2659,1718.85
flash,1024,4,128,1,3.4758,0.5175,1995.9
flash,1024,4,128,2,3.4737,0.5188,1995.93
flash,1024,4,128,3,3.4698,0.5188,1995.93
flash,1024,4,128,4,3.4724,0.5191,1995.93
flash,1024,4,128,5,3.4733,0.5191,1995.93
flash,1800,1,128,1,2.29,0.25,1685.78
flash,1800,1,128,2,2.2866,0.2524,1685.79
flash,1800,1,128,3,2.2867,0.2526,1685.79
flash,1800,1,128,4,2.2876,0.2529,1685.79
flash,1800,1,128,5,2.2856,0.2528,1685.79
flash,1800,2,128,1,3.1226,0.482,1928.81
flash,1800,2,128,2,3.1192,0.4863,1928.84
flash,1800,2,128,3,3.1179,0.4852,1928.84
flash,1800,2,128,4,3.1201,0.4848,1928.84
flash,1800,2,128,5,3.1209,0.4847,1928.84
flash,1800,4,128,1,4.94,0.9677,2416.49
flash,1800,4,128,2,4.9392,0.9679,2416.55
flash,1800,4,128,3,4.9388,0.969,2416.55
flash,1800,4,128,4,4.9397,0.9679,2416.55
flash,1800,4,128,5,4.9393,0.9682,2416.55
math,256,1,128,1,2.19,0.0506,1496.78
math,256,1,128,2,2.1889,0.0515,1496.78
math,256,1,128,3,2.1927,0.0515,1496.78
math,256,1,128,4,2.1885,0.0515,1496.78
math,256,1,128,5,2.1866,0.0518,1496.78
math,256,2,128,1,2.8941,0.1013,1552.15
math,256,2,128,2,2.8904,0.1021,1552.15
math,256,2,128,3,2.8921,0.1024,1552.15
math,256,2,128,4,2.8912,0.1026,1552.15
math,256,2,128,5,2.8927,0.1023,1552.15
math,256,4,128,1,4.1776,0.2001,1660.14
math,256,4,128,2,4.1756,0.2016,1660.15
math,256,4,128,3,4.1763,0.2015,1660.15
math,256,4,128,4,4.1765,0.2012,1660.15
math,256,4,128,5,4.1784,0.201,1660.15
math,512,1,128,1,2.7442,0.1235,1560.04
math,512,1,128,2,2.737,0.1242,1560.05
math,512,1,128,3,2.7368,0.1246,1560.05
math,512,1,128,4,2.7379,0.1246,1560.05
math,512,1,128,5,2.7375,0.1245,1560.05
math,512,2,128,1,3.9814,0.2471,1677.32
math,512,2,128,2,3.9792,0.2484,1677.33
math,512,2,128,3,3.9804,0.2485,1677.33
math,512,2,128,4,3.98,0.2483,1677.33
math,512,2,128,5,3.9826,0.2483,1677.33
math,512,4,128,1,6.3326,0.4723,1911.86
math,512,4,128,2,6.3329,0.4743,1911.88
math,512,4,128,3,6.3319,0.4738,1911.88
math,512,4,128,4,6.3332,0.4736,1911.88
math,512,4,128,5,6.331,0.4736,1911.88
math,1024,1,128,1,3.9697,0.3359,1752.32
math,1024,1,128,2,3.9615,0.3368,1752.33
math,1024,1,128,3,3.9683,0.3367,1752.33
math,1024,1,128,4,3.9618,0.3366,1752.33
math,1024,1,128,5,3.9634,0.3369,1752.33
math,1024,2,128,1,6.3836,0.6519,2058.87
math,1024,2,128,2,6.3832,0.6525,2058.89
math,1024,2,128,3,6.3848,0.6524,2058.89
math,1024,2,128,4,6.3855,0.6522,2058.89
math,1024,2,128,5,6.3838,0.6524,2058.89
math,1024,4,128,1,11.1642,1.2851,2671.96
math,1024,4,128,2,11.1642,1.2855,2672.0
math,1024,4,128,3,11.2467,1.285,2672.0
math,1024,4,128,4,11.219,1.2854,2672.0
math,1024,4,128,5,11.1598,1.2853,2672.0
math,1800,1,128,1,6.1798,0.8301,2185.91
math,1800,1,128,2,6.1794,0.8311,2185.92
math,1800,1,128,3,6.1752,0.8312,2185.92
math,1800,1,128,4,6.1769,0.8309,2185.92
math,1800,1,128,5,6.1778,0.8311,2185.92
math,1800,2,128,1,10.7904,1.6418,2916.47
math,1800,2,128,2,10.79,1.6428,2916.5
math,1800,2,128,3,10.7911,1.6427,2916.5
math,1800,2,128,4,10.7891,1.6427,2916.5
math,1800,2,128,5,10.7896,1.6434,2916.5
math,1800,4,128,1,19.9979,3.2717,4379.71
math,1800,4,128,2,19.9961,3.273,4379.77
math,1800,4,128,3,19.995,3.2716,4379.77
math,1800,4,128,4,19.996,3.2728,4379.77
math,1800,4,128,5,19.9958,3.2717,4379.77
