backend,seq_len,median_latency_ms,std_latency_ms,median_peak_memory_mb,num_runs
flash,128,0.035,0.001,9.63,5
math,128,0.263,0.002,17.19,5
flash,256,0.058,0.001,11.14,5
math,256,0.627,0.002,29.38,5
flash,512,0.125,0.004,14.16,5
math,512,2.018,0.004,69.13,5
flash,768,0.219,0.003,17.17,5
math,768,4.201,0.004,127.39,5
flash,1024,0.346,0.01,20.19,5
math,1024,7.209,0.006,204.14,5
flash,1536,0.731,0.006,26.22,5
math,1536,15.467,0.006,413.9,5
flash,2048,1.222,0.014,32.25,5
math,2048,27.069,0.01,696.16,5
