backend,seq_len,run,latency_ms,peak_memory_mb
flash,128,1,0.0348,9.63
flash,128,2,0.0366,9.63
flash,128,3,0.0346,9.63
flash,128,4,0.0337,9.63
flash,128,5,0.0328,9.63
math,128,1,0.2626,17.19
math,128,2,0.2651,17.19
math,128,3,0.2637,17.19
math,128,4,0.2611,17.19
math,128,5,0.261,17.19
flash,256,1,0.0586,11.14
flash,256,2,0.0586,11.14
flash,256,3,0.0577,11.14
flash,256,4,0.0575,11.14
flash,256,5,0.0572,11.14
math,256,1,0.6285,29.38
math,256,2,0.624,29.38
math,256,3,0.6264,29.38
math,256,4,0.6274,29.38
math,256,5,0.6295,29.38
flash,512,1,0.1304,14.16
flash,512,2,0.1326,14.16
flash,512,3,0.1233,14.16
flash,512,4,0.1236,14.16
flash,512,5,0.1249,14.16
math,512,1,2.015,69.13
math,512,2,2.0175,69.13
math,512,3,2.0236,69.13
math,512,4,2.0241,69.13
math,512,5,2.0176,69.13
flash,768,1,0.2195,17.17
flash,768,2,0.2222,17.17
flash,768,3,0.2254,17.17
flash,768,4,0.2193,17.17
flash,768,5,0.2178,17.17
math,768,1,4.2076,127.39
math,768,2,4.2002,127.39
math,768,3,4.1971,127.39
math,768,4,4.2013,127.39
math,768,5,4.2065,127.39
flash,1024,1,0.3529,20.19
flash,1024,2,0.3418,20.19
flash,1024,3,0.3595,20.19
flash,1024,4,0.3329,20.19
flash,1024,5,0.3465,20.19
math,1024,1,7.2065,204.14
math,1024,2,7.2148,204.14
math,1024,3,7.218,204.14
math,1024,4,7.2048,204.14
math,1024,5,7.2093,204.14
flash,1536,1,0.7322,26.22
flash,1536,2,0.7364,26.22
flash,1536,3,0.7207,26.22
flash,1536,4,0.7313,26.22
flash,1536,5,0.7286,26.22
math,1536,1,15.4686,413.9
math,1536,2,15.4763,413.9
math,1536,3,15.4671,413.9
math,1536,4,15.46,413.9
math,1536,5,15.4654,413.9
flash,2048,1,1.2216,32.25
flash,2048,2,1.2382,32.25
flash,2048,3,1.2332,32.25
flash,2048,4,1.222,32.25
flash,2048,5,1.2025,32.25
math,2048,1,27.071,696.16
math,2048,2,27.0602,696.16
math,2048,3,27.069,696.16
math,2048,4,27.0731,696.16
math,2048,5,27.0483,696.16
