backend,head_dim,run,latency_ms,peak_memory_mb
flash,32,1,0.1422,11.19
flash,32,2,0.1351,11.19
flash,32,3,0.1368,11.19
flash,32,4,0.1314,11.19
flash,32,5,0.1341,11.19
math,32,1,6.08,168.14
math,32,2,6.1034,168.14
math,32,3,6.0895,168.14
math,32,4,6.0842,168.14
math,32,5,6.0819,168.14
flash,64,1,0.2096,14.19
flash,64,2,0.2191,14.19
flash,64,3,0.2161,14.19
flash,64,4,0.2148,14.19
flash,64,5,0.2257,14.19
math,64,1,6.3911,180.14
math,64,2,6.3783,180.14
math,64,3,6.3786,180.14
math,64,4,6.3856,180.14
math,64,5,6.3811,180.14
flash,128,1,0.3496,20.19
flash,128,2,0.3448,20.19
flash,128,3,0.3516,20.19
flash,128,4,0.3418,20.19
flash,128,5,0.3384,20.19
math,128,1,7.2188,204.14
math,128,2,7.1978,204.14
math,128,3,7.1959,204.14
math,128,4,7.2026,204.14
math,128,5,7.1947,204.14
