backend,kv_len,run,latency_ms,peak_memory_mb
flash,128,1,0.0528,9.63
flash,128,2,0.0544,9.63
flash,128,3,0.0573,9.63
mem_efficient,128,1,0.0407,9.63
mem_efficient,128,2,0.0431,9.63
mem_efficient,128,3,0.0472,9.63
math,128,1,0.1102,12.65
math,128,2,0.1104,12.65
math,128,3,0.1096,12.65
flash,256,1,0.0697,11.15
flash,256,2,0.0689,11.15
flash,256,3,0.0679,11.15
mem_efficient,256,1,0.064,11.13
mem_efficient,256,2,0.0652,11.13
mem_efficient,256,3,0.0638,11.13
math,256,1,0.1695,17.16
math,256,2,0.1699,17.16
math,256,3,0.1685,17.16
flash,512,1,0.1066,14.15
flash,512,2,0.1085,14.15
flash,512,3,0.1065,14.15
mem_efficient,512,1,0.1012,14.13
mem_efficient,512,2,0.1026,14.13
mem_efficient,512,3,0.1026,14.13
math,512,1,0.2894,26.18
math,512,2,0.2897,26.18
math,512,3,0.2879,26.18
flash,1024,1,0.175,20.15
flash,1024,2,0.177,20.15
flash,1024,3,0.1831,20.15
mem_efficient,1024,1,0.1748,20.13
mem_efficient,1024,2,0.1766,20.13
mem_efficient,1024,3,0.1742,20.13
math,1024,1,0.5289,44.21
math,1024,2,0.5284,44.21
math,1024,3,0.5294,44.21
flash,1536,1,0.2446,26.15
flash,1536,2,0.2462,26.15
flash,1536,3,0.2465,26.15
mem_efficient,1536,1,0.2453,26.13
mem_efficient,1536,2,0.2456,26.13
mem_efficient,1536,3,0.2446,26.13
math,1536,1,0.7777,62.24
math,1536,2,0.7779,62.24
math,1536,3,0.7745,62.24
flash,2048,1,0.3137,32.15
flash,2048,2,0.4717,32.15
flash,2048,3,0.3113,32.15
mem_efficient,2048,1,0.3128,32.13
mem_efficient,2048,2,0.3154,32.13
mem_efficient,2048,3,0.313,32.13
math,2048,1,1.0092,80.27
math,2048,2,1.0089,80.27
math,2048,3,1.0077,80.27
