backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,128,1,1.9818,0.071,1532.89
flash,512,1,128,2,1.9798,0.072,1532.9
flash,512,1,128,3,1.9792,0.0718,1532.9
mem_efficient,512,1,128,1,1.9675,0.072,1532.88
mem_efficient,512,1,128,2,1.9664,0.0729,1532.88
mem_efficient,512,1,128,3,1.9633,0.073,1532.88
math,512,1,128,1,2.7442,0.1238,1560.04
math,512,1,128,2,2.7456,0.1249,1560.05
math,512,1,128,3,2.7426,0.125,1560.05
flash,1024,1,128,1,2.4049,0.1443,1580.31
flash,1024,1,128,2,2.4131,0.1459,1580.31
flash,1024,1,128,3,2.4024,0.1457,1580.31
mem_efficient,1024,1,128,1,2.4086,0.1491,1580.31
mem_efficient,1024,1,128,2,2.4023,0.1506,1580.31
mem_efficient,1024,1,128,3,2.4027,0.1505,1580.31
math,1024,1,128,1,3.9044,0.3355,1752.32
math,1024,1,128,2,3.9026,0.3366,1752.33
math,1024,1,128,3,3.9026,0.3367,1752.33
flash,1800,1,128,1,3.0448,0.2559,1686.98
flash,1800,1,128,2,3.0374,0.2576,1687.0
flash,1800,1,128,3,3.0397,0.258,1687.0
mem_efficient,1800,1,128,1,3.0727,0.2704,1686.98
mem_efficient,1800,1,128,2,3.0658,0.2725,1687.0
mem_efficient,1800,1,128,3,3.1316,0.2723,1687.0
math,1800,1,128,1,5.8823,0.8326,2187.06
math,1800,1,128,2,5.8795,0.8329,2187.07
math,1800,1,128,3,5.8781,0.8332,2187.07
