backend,kv_len,dtype,median_latency_ms
mem_efficient,128,fp16,0.051
math,128,fp16,0.129
mem_efficient,128,fp32,0.091
math,128,fp32,0.095
mem_efficient,256,fp16,0.077
math,256,fp16,0.184
mem_efficient,256,fp32,0.15
math,256,fp32,0.141
mem_efficient,512,fp16,0.357
math,512,fp16,0.306
mem_efficient,512,fp32,0.274
math,512,fp32,0.24
mem_efficient,1024,fp16,0.197
math,1024,fp16,0.547
mem_efficient,1024,fp32,0.525
math,1024,fp32,0.452
mem_efficient,1536,fp16,0.278
math,1536,fp16,0.802
mem_efficient,1536,fp32,0.821
math,1536,fp32,0.72
mem_efficient,2048,fp16,0.361
math,2048,fp16,1.224
mem_efficient,2048,fp32,1.098
math,2048,fp32,0.941
