backend,config,kv_len,median_latency_ms,std_latency_ms,median_peak_memory_mb,num_heads,head_dim
flash,H8_D64,256,0.03,0.004,8.63,8,64
mem_efficient,H8_D64,256,0.029,0.004,8.63,8,64
math,H8_D64,256,0.086,0.005,10.14,8,64
flash,H8_D64,512,0.032,0.004,9.13,8,64
mem_efficient,H8_D64,512,0.041,0.001,9.13,8,64
math,H8_D64,512,0.1,0.002,12.15,8,64
flash,H8_D64,1024,0.045,0.001,10.14,8,64
mem_efficient,H8_D64,1024,0.068,0.029,10.13,8,64
math,H8_D64,1024,0.141,0.002,16.16,8,64
flash,H8_D64,2048,0.057,0.001,12.14,8,64
mem_efficient,H8_D64,2048,0.113,0.001,12.13,8,64
math,H8_D64,2048,0.241,0.001,24.19,8,64
flash,H16_D64,256,0.031,0.002,9.13,16,64
mem_efficient,H16_D64,256,0.029,0.0,9.13,16,64
math,H16_D64,256,0.089,0.011,12.15,16,64
flash,H16_D64,512,0.045,0.001,10.14,16,64
mem_efficient,H16_D64,512,0.044,0.001,10.13,16,64
math,H16_D64,512,0.139,0.001,16.17,16,64
flash,H16_D64,1024,0.057,0.001,12.14,16,64
mem_efficient,H16_D64,1024,0.067,0.001,12.13,16,64
math,H16_D64,1024,0.237,0.003,24.2,16,64
flash,H16_D64,2048,0.084,0.002,16.14,16,64
mem_efficient,H16_D64,2048,0.115,0.001,16.13,16,64
math,H16_D64,2048,0.437,0.002,40.26,16,64
flash,H32_D64,256,0.045,0.003,10.13,32,64
mem_efficient,H32_D64,256,0.035,0.001,10.13,32,64
math,H32_D64,256,0.138,0.001,16.18,32,64
flash,H32_D64,512,0.064,0.001,12.13,32,64
mem_efficient,H32_D64,512,0.05,0.002,12.13,32,64
math,H32_D64,512,0.235,0.001,24.21,32,64
flash,H32_D64,1024,0.103,0.001,16.13,32,64
mem_efficient,H32_D64,1024,0.079,0.002,16.13,32,64
math,H32_D64,1024,0.433,0.001,40.27,32,64
flash,H32_D64,2048,0.182,0.001,24.13,32,64
mem_efficient,H32_D64,2048,0.137,0.001,24.13,32,64
math,H32_D64,2048,0.822,0.003,72.39,32,64
flash,H16_D128,256,0.044,0.003,10.15,16,128
mem_efficient,H16_D128,256,0.037,0.002,10.13,16,128
math,H16_D128,256,0.137,0.001,16.16,16,128
flash,H16_D128,512,0.057,0.001,12.15,16,128
mem_efficient,H16_D128,512,0.052,0.001,12.13,16,128
math,H16_D128,512,0.235,0.002,24.18,16,128
flash,H16_D128,1024,0.084,0.003,16.15,16,128
mem_efficient,H16_D128,1024,0.082,0.002,16.13,16,128
math,H16_D128,1024,0.431,0.001,40.21,16,128
flash,H16_D128,2048,0.139,0.001,24.15,16,128
mem_efficient,H16_D128,2048,0.139,0.002,24.13,16,128
math,H16_D128,2048,0.831,0.003,72.27,16,128
flash,H32_D128,256,0.06,0.001,12.14,32,128
mem_efficient,H32_D128,256,0.053,0.002,12.14,32,128
math,H32_D128,256,0.235,0.001,24.2,32,128
flash,H32_D128,512,0.097,0.001,16.14,32,128
mem_efficient,H32_D128,512,0.081,0.001,16.14,32,128
math,H32_D128,512,0.429,0.002,40.23,32,128
flash,H32_D128,1024,0.173,0.003,24.14,32,128
mem_efficient,H32_D128,1024,0.14,0.001,24.14,32,128
math,H32_D128,1024,0.817,0.002,72.29,32,128
flash,H32_D128,2048,0.322,0.001,40.14,32,128
mem_efficient,H32_D128,2048,0.257,0.004,40.14,32,128
math,H32_D128,2048,1.601,0.002,136.41,32,128
