backend,config,kv_len,run,latency_ms,peak_memory_mb
flash,H8_D64,256,1,0.04,8.63
flash,H8_D64,256,2,0.0337,8.63
flash,H8_D64,256,3,0.0299,8.63
flash,H8_D64,256,4,0.0299,8.63
flash,H8_D64,256,5,0.03,8.63
mem_efficient,H8_D64,256,1,0.0382,8.63
mem_efficient,H8_D64,256,2,0.0291,8.63
mem_efficient,H8_D64,256,3,0.0287,8.63
mem_efficient,H8_D64,256,4,0.0285,8.63
mem_efficient,H8_D64,256,5,0.0282,8.63
math,H8_D64,256,1,0.0877,10.14
math,H8_D64,256,2,0.0925,10.14
math,H8_D64,256,3,0.0862,10.14
math,H8_D64,256,4,0.0818,10.14
math,H8_D64,256,5,0.0811,10.14
flash,H8_D64,512,1,0.0364,9.13
flash,H8_D64,512,2,0.0387,9.13
flash,H8_D64,512,3,0.0316,9.13
flash,H8_D64,512,4,0.0309,9.13
flash,H8_D64,512,5,0.0306,9.13
mem_efficient,H8_D64,512,1,0.041,9.13
mem_efficient,H8_D64,512,2,0.0417,9.13
mem_efficient,H8_D64,512,3,0.0406,9.13
mem_efficient,H8_D64,512,4,0.0401,9.13
mem_efficient,H8_D64,512,5,0.0389,9.13
math,H8_D64,512,1,0.1021,12.15
math,H8_D64,512,2,0.1027,12.15
math,H8_D64,512,3,0.0987,12.15
math,H8_D64,512,4,0.0999,12.15
math,H8_D64,512,5,0.0994,12.15
flash,H8_D64,1024,1,0.0468,10.14
flash,H8_D64,1024,2,0.0456,10.14
flash,H8_D64,1024,3,0.045,10.14
flash,H8_D64,1024,4,0.0441,10.14
flash,H8_D64,1024,5,0.0429,10.14
mem_efficient,H8_D64,1024,1,0.0673,10.13
mem_efficient,H8_D64,1024,2,0.1343,10.13
mem_efficient,H8_D64,1024,3,0.0704,10.13
mem_efficient,H8_D64,1024,4,0.0685,10.13
mem_efficient,H8_D64,1024,5,0.0674,10.13
math,H8_D64,1024,1,0.1408,16.16
math,H8_D64,1024,2,0.1434,16.16
math,H8_D64,1024,3,0.1416,16.16
math,H8_D64,1024,4,0.1398,16.16
math,H8_D64,1024,5,0.1393,16.16
flash,H8_D64,2048,1,0.0572,12.14
flash,H8_D64,2048,2,0.0592,12.14
flash,H8_D64,2048,3,0.0585,12.14
flash,H8_D64,2048,4,0.0572,12.14
flash,H8_D64,2048,5,0.0568,12.14
mem_efficient,H8_D64,2048,1,0.1137,12.13
mem_efficient,H8_D64,2048,2,0.1131,12.13
mem_efficient,H8_D64,2048,3,0.1139,12.13
mem_efficient,H8_D64,2048,4,0.1122,12.13
mem_efficient,H8_D64,2048,5,0.112,12.13
math,H8_D64,2048,1,0.2418,24.19
math,H8_D64,2048,2,0.2437,24.19
math,H8_D64,2048,3,0.2409,24.19
math,H8_D64,2048,4,0.2412,24.19
math,H8_D64,2048,5,0.2404,24.19
flash,H16_D64,256,1,0.0301,9.13
flash,H16_D64,256,2,0.0312,9.13
flash,H16_D64,256,3,0.0296,9.13
flash,H16_D64,256,4,0.0349,9.13
flash,H16_D64,256,5,0.032,9.13
mem_efficient,H16_D64,256,1,0.0293,9.13
mem_efficient,H16_D64,256,2,0.029,9.13
mem_efficient,H16_D64,256,3,0.0282,9.13
mem_efficient,H16_D64,256,4,0.0291,9.13
mem_efficient,H16_D64,256,5,0.0284,9.13
math,H16_D64,256,1,0.0888,12.15
math,H16_D64,256,2,0.0886,12.15
math,H16_D64,256,3,0.0868,12.15
math,H16_D64,256,4,0.086,12.15
math,H16_D64,256,5,0.1119,12.15
flash,H16_D64,512,1,0.0453,10.14
flash,H16_D64,512,2,0.0459,10.14
flash,H16_D64,512,3,0.0451,10.14
flash,H16_D64,512,4,0.045,10.14
flash,H16_D64,512,5,0.0433,10.14
mem_efficient,H16_D64,512,1,0.0444,10.13
mem_efficient,H16_D64,512,2,0.0437,10.13
mem_efficient,H16_D64,512,3,0.0433,10.13
mem_efficient,H16_D64,512,4,0.0426,10.13
mem_efficient,H16_D64,512,5,0.0439,10.13
math,H16_D64,512,1,0.1386,16.17
math,H16_D64,512,2,0.1401,16.17
math,H16_D64,512,3,0.1386,16.17
math,H16_D64,512,4,0.1377,16.17
math,H16_D64,512,5,0.1385,16.17
flash,H16_D64,1024,1,0.0572,12.14
flash,H16_D64,1024,2,0.0598,12.14
flash,H16_D64,1024,3,0.058,12.14
flash,H16_D64,1024,4,0.0568,12.14
flash,H16_D64,1024,5,0.0566,12.14
mem_efficient,H16_D64,1024,1,0.0663,12.13
mem_efficient,H16_D64,1024,2,0.0683,12.13
mem_efficient,H16_D64,1024,3,0.0672,12.13
mem_efficient,H16_D64,1024,4,0.0667,12.13
mem_efficient,H16_D64,1024,5,0.0669,12.13
math,H16_D64,1024,1,0.2391,24.2
math,H16_D64,1024,2,0.2428,24.2
math,H16_D64,1024,3,0.2371,24.2
math,H16_D64,1024,4,0.2371,24.2
math,H16_D64,1024,5,0.2367,24.2
flash,H16_D64,2048,1,0.0842,16.14
flash,H16_D64,2048,2,0.0859,16.14
flash,H16_D64,2048,3,0.0841,16.14
flash,H16_D64,2048,4,0.0818,16.14
flash,H16_D64,2048,5,0.0823,16.14
mem_efficient,H16_D64,2048,1,0.1142,16.13
mem_efficient,H16_D64,2048,2,0.115,16.13
mem_efficient,H16_D64,2048,3,0.1148,16.13
mem_efficient,H16_D64,2048,4,0.1161,16.13
mem_efficient,H16_D64,2048,5,0.1143,16.13
math,H16_D64,2048,1,0.4379,40.26
math,H16_D64,2048,2,0.44,40.26
math,H16_D64,2048,3,0.4372,40.26
math,H16_D64,2048,4,0.4375,40.26
math,H16_D64,2048,5,0.4353,40.26
flash,H32_D64,256,1,0.0443,10.13
flash,H32_D64,256,2,0.0446,10.13
flash,H32_D64,256,3,0.0501,10.13
flash,H32_D64,256,4,0.0463,10.13
flash,H32_D64,256,5,0.0442,10.13
mem_efficient,H32_D64,256,1,0.0354,10.13
mem_efficient,H32_D64,256,2,0.0365,10.13
mem_efficient,H32_D64,256,3,0.0355,10.13
mem_efficient,H32_D64,256,4,0.0354,10.13
mem_efficient,H32_D64,256,5,0.0352,10.13
math,H32_D64,256,1,0.1383,16.18
math,H32_D64,256,2,0.1383,16.18
math,H32_D64,256,3,0.1384,16.18
math,H32_D64,256,4,0.1375,16.18
math,H32_D64,256,5,0.1356,16.18
flash,H32_D64,512,1,0.0641,12.13
flash,H32_D64,512,2,0.0665,12.13
flash,H32_D64,512,3,0.0642,12.13
flash,H32_D64,512,4,0.0649,12.13
flash,H32_D64,512,5,0.0635,12.13
mem_efficient,H32_D64,512,1,0.0501,12.13
mem_efficient,H32_D64,512,2,0.0495,12.13
mem_efficient,H32_D64,512,3,0.0499,12.13
mem_efficient,H32_D64,512,4,0.0492,12.13
mem_efficient,H32_D64,512,5,0.0542,12.13
math,H32_D64,512,1,0.2375,24.21
math,H32_D64,512,2,0.2357,24.21
math,H32_D64,512,3,0.2354,24.21
math,H32_D64,512,4,0.2346,24.21
math,H32_D64,512,5,0.2338,24.21
flash,H32_D64,1024,1,0.1047,16.13
flash,H32_D64,1024,2,0.1039,16.13
flash,H32_D64,1024,3,0.1033,16.13
flash,H32_D64,1024,4,0.1019,16.13
flash,H32_D64,1024,5,0.1014,16.13
mem_efficient,H32_D64,1024,1,0.0793,16.13
mem_efficient,H32_D64,1024,2,0.0821,16.13
mem_efficient,H32_D64,1024,3,0.0811,16.13
mem_efficient,H32_D64,1024,4,0.0784,16.13
mem_efficient,H32_D64,1024,5,0.0788,16.13
math,H32_D64,1024,1,0.434,40.27
math,H32_D64,1024,2,0.4328,40.27
math,H32_D64,1024,3,0.4315,40.27
math,H32_D64,1024,4,0.4316,40.27
math,H32_D64,1024,5,0.4332,40.27
flash,H32_D64,2048,1,0.1827,24.13
flash,H32_D64,2048,2,0.1824,24.13
flash,H32_D64,2048,3,0.1803,24.13
flash,H32_D64,2048,4,0.1818,24.13
flash,H32_D64,2048,5,0.181,24.13
mem_efficient,H32_D64,2048,1,0.1364,24.13
mem_efficient,H32_D64,2048,2,0.1384,24.13
mem_efficient,H32_D64,2048,3,0.138,24.13
mem_efficient,H32_D64,2048,4,0.136,24.13
mem_efficient,H32_D64,2048,5,0.1371,24.13
math,H32_D64,2048,1,0.8268,72.39
math,H32_D64,2048,2,0.8258,72.39
math,H32_D64,2048,3,0.8214,72.39
math,H32_D64,2048,4,0.8214,72.39
math,H32_D64,2048,5,0.8222,72.39
flash,H16_D128,256,1,0.0497,10.15
flash,H16_D128,256,2,0.0471,10.15
flash,H16_D128,256,3,0.0442,10.15
flash,H16_D128,256,4,0.0442,10.15
flash,H16_D128,256,5,0.0434,10.15
mem_efficient,H16_D128,256,1,0.0368,10.13
mem_efficient,H16_D128,256,2,0.0414,10.13
mem_efficient,H16_D128,256,3,0.0376,10.13
mem_efficient,H16_D128,256,4,0.0368,10.13
mem_efficient,H16_D128,256,5,0.0364,10.13
math,H16_D128,256,1,0.1369,16.16
math,H16_D128,256,2,0.1365,16.16
math,H16_D128,256,3,0.1367,16.16
math,H16_D128,256,4,0.1348,16.16
math,H16_D128,256,5,0.1357,16.16
flash,H16_D128,512,1,0.0569,12.15
flash,H16_D128,512,2,0.0588,12.15
flash,H16_D128,512,3,0.0565,12.15
flash,H16_D128,512,4,0.056,12.15
flash,H16_D128,512,5,0.0567,12.15
mem_efficient,H16_D128,512,1,0.052,12.13
mem_efficient,H16_D128,512,2,0.0529,12.13
mem_efficient,H16_D128,512,3,0.0518,12.13
mem_efficient,H16_D128,512,4,0.0514,12.13
mem_efficient,H16_D128,512,5,0.0516,12.13
math,H16_D128,512,1,0.2351,24.18
math,H16_D128,512,2,0.2346,24.18
math,H16_D128,512,3,0.2375,24.18
math,H16_D128,512,4,0.2338,24.18
math,H16_D128,512,5,0.2335,24.18
flash,H16_D128,1024,1,0.09,16.15
flash,H16_D128,1024,2,0.0848,16.15
flash,H16_D128,1024,3,0.0836,16.15
flash,H16_D128,1024,4,0.0831,16.15
flash,H16_D128,1024,5,0.0833,16.15
mem_efficient,H16_D128,1024,1,0.0817,16.13
mem_efficient,H16_D128,1024,2,0.0823,16.13
mem_efficient,H16_D128,1024,3,0.0852,16.13
mem_efficient,H16_D128,1024,4,0.0817,16.13
mem_efficient,H16_D128,1024,5,0.0802,16.13
math,H16_D128,1024,1,0.4322,40.21
math,H16_D128,1024,2,0.4321,40.21
math,H16_D128,1024,3,0.4307,40.21
math,H16_D128,1024,4,0.4294,40.21
math,H16_D128,1024,5,0.4313,40.21
flash,H16_D128,2048,1,0.1393,24.15
flash,H16_D128,2048,2,0.1392,24.15
flash,H16_D128,2048,3,0.1392,24.15
flash,H16_D128,2048,4,0.1419,24.15
flash,H16_D128,2048,5,0.138,24.15
mem_efficient,H16_D128,2048,1,0.1385,24.13
mem_efficient,H16_D128,2048,2,0.1416,24.13
mem_efficient,H16_D128,2048,3,0.1399,24.13
mem_efficient,H16_D128,2048,4,0.1378,24.13
mem_efficient,H16_D128,2048,5,0.1385,24.13
math,H16_D128,2048,1,0.8331,72.27
math,H16_D128,2048,2,0.8291,72.27
math,H16_D128,2048,3,0.8317,72.27
math,H16_D128,2048,4,0.8315,72.27
math,H16_D128,2048,5,0.8266,72.27
flash,H32_D128,256,1,0.0609,12.14
flash,H32_D128,256,2,0.0607,12.14
flash,H32_D128,256,3,0.0599,12.14
flash,H32_D128,256,4,0.0596,12.14
flash,H32_D128,256,5,0.0593,12.14
mem_efficient,H32_D128,256,1,0.0526,12.14
mem_efficient,H32_D128,256,2,0.0531,12.14
mem_efficient,H32_D128,256,3,0.0522,12.14
mem_efficient,H32_D128,256,4,0.0528,12.14
mem_efficient,H32_D128,256,5,0.0579,12.14
math,H32_D128,256,1,0.2362,24.2
math,H32_D128,256,2,0.2362,24.2
math,H32_D128,256,3,0.2346,24.2
math,H32_D128,256,4,0.233,24.2
math,H32_D128,256,5,0.2337,24.2
flash,H32_D128,512,1,0.0983,16.14
flash,H32_D128,512,2,0.0977,16.14
flash,H32_D128,512,3,0.097,16.14
flash,H32_D128,512,4,0.0962,16.14
flash,H32_D128,512,5,0.0956,16.14
mem_efficient,H32_D128,512,1,0.0809,16.14
mem_efficient,H32_D128,512,2,0.0821,16.14
mem_efficient,H32_D128,512,3,0.0811,16.14
mem_efficient,H32_D128,512,4,0.0812,16.14
mem_efficient,H32_D128,512,5,0.0806,16.14
math,H32_D128,512,1,0.4308,40.23
math,H32_D128,512,2,0.4292,40.23
math,H32_D128,512,3,0.4322,40.23
math,H32_D128,512,4,0.4286,40.23
math,H32_D128,512,5,0.428,40.23
flash,H32_D128,1024,1,0.174,24.14
flash,H32_D128,1024,2,0.178,24.14
flash,H32_D128,1024,3,0.1727,24.14
flash,H32_D128,1024,4,0.1719,24.14
flash,H32_D128,1024,5,0.1717,24.14
mem_efficient,H32_D128,1024,1,0.1413,24.14
mem_efficient,H32_D128,1024,2,0.14,24.14
mem_efficient,H32_D128,1024,3,0.1396,24.14
mem_efficient,H32_D128,1024,4,0.14,24.14
mem_efficient,H32_D128,1024,5,0.1413,24.14
math,H32_D128,1024,1,0.8178,72.29
math,H32_D128,1024,2,0.8185,72.29
math,H32_D128,1024,3,0.8166,72.29
math,H32_D128,1024,4,0.8162,72.29
math,H32_D128,1024,5,0.8142,72.29
flash,H32_D128,2048,1,0.3223,40.14
flash,H32_D128,2048,2,0.3223,40.14
flash,H32_D128,2048,3,0.3204,40.14
flash,H32_D128,2048,4,0.3209,40.14
flash,H32_D128,2048,5,0.3217,40.14
mem_efficient,H32_D128,2048,1,0.2561,40.14
mem_efficient,H32_D128,2048,2,0.2568,40.14
mem_efficient,H32_D128,2048,3,0.2665,40.14
mem_efficient,H32_D128,2048,4,0.2589,40.14
mem_efficient,H32_D128,2048,5,0.2562,40.14
math,H32_D128,2048,1,1.6055,136.41
math,H32_D128,2048,2,1.6052,136.41
math,H32_D128,2048,3,1.6005,136.41
math,H32_D128,2048,4,1.6014,136.41
math,H32_D128,2048,5,1.6009,136.41
