backend,config,context_size,prefill_latency_ms,decode_latency_ms,combined_latency_ms,prefill_memory_mb,decode_memory_mb,peak_memory_mb,num_heads,head_dim
flash,H8_D64,256,0.029,0.03,0.059,9.63,9.38,9.63,8,64
mem_efficient,H8_D64,256,0.032,0.028,0.06,9.63,9.38,9.63,8,64
math,H8_D64,256,0.267,0.079,0.346,16.13,10.89,16.13,8,64
flash,H8_D64,512,0.06,0.031,0.091,11.14,10.63,11.14,8,64
mem_efficient,H8_D64,512,0.059,0.039,0.098,11.13,10.63,11.13,8,64
math,H8_D64,512,0.879,0.088,0.967,33.63,13.65,33.63,8,64
flash,H8_D64,1024,0.135,0.044,0.179,14.16,13.14,14.16,8,64
mem_efficient,H8_D64,1024,0.14,0.066,0.206,14.13,13.13,14.13,8,64
math,H8_D64,1024,3.214,0.139,3.353,97.13,19.16,97.13,8,64
flash,H8_D64,2048,0.366,0.057,0.423,20.19,18.14,20.19,8,64
mem_efficient,H8_D64,2048,0.431,0.112,0.543,20.13,18.13,20.13,8,64
math,H8_D64,2048,12.511,0.243,12.754,338.14,30.19,338.14,8,64
flash,H16_D64,256,0.05,0.03,0.08,11.14,10.63,11.14,16,64
mem_efficient,H16_D64,256,0.042,0.028,0.07,11.13,10.63,11.13,16,64
math,H16_D64,256,0.486,0.086,0.572,23.88,13.65,23.88,16,64
flash,H16_D64,512,0.088,0.044,0.132,14.16,13.14,14.16,16,64
mem_efficient,H16_D64,512,0.084,0.043,0.127,14.13,13.13,14.13,16,64
math,H16_D64,512,1.69,0.137,1.827,58.14,19.17,58.14,16,64
flash,H16_D64,1024,0.21,0.057,0.267,20.19,18.14,20.19,16,64
mem_efficient,H16_D64,1024,0.229,0.068,0.297,20.13,18.13,20.13,16,64
math,H16_D64,1024,6.307,0.239,6.546,182.14,30.2,182.14,16,64
flash,H16_D64,2048,0.659,0.084,0.743,32.25,28.14,32.25,16,64
mem_efficient,H16_D64,2048,0.791,0.116,0.907,32.13,28.13,32.13,16,64
math,H16_D64,2048,24.483,0.439,24.922,652.16,52.26,652.16,16,64
flash,H32_D64,256,0.075,0.049,0.124,14.16,13.13,14.16,32,64
mem_efficient,H32_D64,256,0.067,0.037,0.104,14.13,13.13,14.13,32,64
math,H32_D64,256,0.914,0.137,1.051,39.39,19.18,39.39,32,64
flash,H32_D64,512,0.137,0.064,0.201,20.19,18.13,20.19,32,64
mem_efficient,H32_D64,512,0.131,0.05,0.181,20.13,18.13,20.13,32,64
math,H32_D64,512,3.337,0.235,3.572,107.15,30.21,107.15,32,64
flash,H32_D64,1024,0.369,0.103,0.472,32.25,28.13,32.25,32,64
mem_efficient,H32_D64,1024,0.418,0.078,0.496,32.13,28.13,32.13,32,64
math,H32_D64,1024,12.402,0.434,12.836,352.16,52.27,352.16,32,64
flash,H32_D64,2048,1.246,0.184,1.43,56.38,48.13,56.38,32,64
mem_efficient,H32_D64,2048,1.496,0.14,1.636,56.13,48.13,56.13,32,64
math,H32_D64,2048,48.485,0.825,49.31,1280.19,96.39,1280.19,32,64
flash,H16_D128,256,0.075,0.047,0.122,14.15,13.15,14.15,16,128
mem_efficient,H16_D128,256,0.072,0.041,0.113,14.13,13.13,14.13,16,128
math,H16_D128,256,0.707,0.162,0.869,30.38,19.16,30.38,16,128
flash,H16_D128,512,0.133,0.057,0.19,20.16,18.15,20.16,16,128
mem_efficient,H16_D128,512,0.171,0.052,0.223,20.13,18.13,20.13,16,128
math,H16_D128,512,1.957,0.235,2.192,71.14,30.18,71.14,16,128
flash,H16_D128,1024,0.348,0.083,0.431,32.19,28.15,32.19,16,128
mem_efficient,H16_D128,1024,0.509,0.083,0.592,32.13,28.13,32.13,16,128
math,H16_D128,1024,7.039,0.43,7.469,208.15,52.21,208.15,16,128
flash,H16_D128,2048,1.218,0.137,1.355,56.25,48.15,56.25,16,128
mem_efficient,H16_D128,2048,1.847,0.14,1.987,56.13,48.13,56.13,16,128
math,H16_D128,2048,26.635,0.834,27.469,704.16,96.27,704.16,16,128
flash,H32_D128,256,0.133,0.063,0.196,20.17,18.14,20.17,32,128
mem_efficient,H32_D128,256,0.119,0.06,0.179,20.13,18.14,20.13,32,128
math,H32_D128,256,1.135,0.237,1.372,52.39,30.2,52.39,32,128
flash,H32_D128,512,0.219,0.099,0.318,32.2,28.14,32.2,32,128
mem_efficient,H32_D128,512,0.308,0.083,0.391,32.13,28.14,32.13,32,128
math,H32_D128,512,3.847,0.428,4.275,133.15,52.23,133.15,32,128
flash,H32_D128,1024,0.648,0.173,0.821,56.26,48.14,56.26,32,128
mem_efficient,H32_D128,1024,0.986,0.142,1.128,56.13,48.14,56.13,32,128
math,H32_D128,1024,13.872,0.818,14.69,404.16,96.29,404.16,32,128
flash,H32_D128,2048,2.358,0.325,2.683,104.38,88.14,104.38,32,128
mem_efficient,H32_D128,2048,3.577,0.271,3.848,104.13,88.14,104.13,32,128
math,H32_D128,2048,52.743,1.607,54.35,1384.2,184.41,1384.2,32,128
