backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,32,1,0.5322,0.0707,1532.89
flash,512,1,32,2,0.5295,0.0714,1532.9
flash,512,1,32,3,0.5303,0.0717,1532.9
mem_efficient,512,1,32,1,0.5307,0.0719,1532.88
mem_efficient,512,1,32,2,0.5286,0.0731,1532.88
mem_efficient,512,1,32,3,0.5383,0.0731,1532.88
math,512,1,32,1,0.7434,0.1236,1560.04
math,512,1,32,2,0.7422,0.1246,1560.05
math,512,1,32,3,0.7426,0.1248,1560.05
flash,512,1,64,1,1.2455,0.0709,1532.89
flash,512,1,64,2,1.0159,0.0719,1532.9
flash,512,1,64,3,1.006,0.0724,1532.9
mem_efficient,512,1,64,1,1.2466,0.0723,1532.88
mem_efficient,512,1,64,2,1.0039,0.0735,1532.88
mem_efficient,512,1,64,3,1.0026,0.0734,1532.88
math,512,1,64,1,1.3954,0.1236,1560.04
math,512,1,64,2,1.3953,0.1243,1560.05
math,512,1,64,3,1.4019,0.1245,1560.05
flash,512,1,128,1,1.9785,0.0708,1532.89
flash,512,1,128,2,1.9785,0.0717,1532.9
flash,512,1,128,3,1.9779,0.0718,1532.9
mem_efficient,512,1,128,1,1.9651,0.0719,1532.88
mem_efficient,512,1,128,2,1.9645,0.0732,1532.88
mem_efficient,512,1,128,3,1.9634,0.073,1532.88
math,512,1,128,1,2.7443,0.1238,1560.04
math,512,1,128,2,2.7453,0.1249,1560.05
math,512,1,128,3,2.7414,0.1245,1560.05
flash,512,1,256,1,3.9782,0.0709,1535.81
flash,512,1,256,2,3.9758,0.0717,1535.82
flash,512,1,256,3,3.9822,0.0719,1535.82
mem_efficient,512,1,256,1,3.9564,0.0722,1535.8
mem_efficient,512,1,256,2,3.9532,0.073,1535.8
mem_efficient,512,1,256,3,3.9614,0.0731,1535.8
math,512,1,256,1,5.6215,0.1237,1560.04
math,512,1,256,2,5.6106,0.1242,1560.05
math,512,1,256,3,5.6157,0.1246,1560.05
