backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,128,1,1.9828,0.0708,1532.89
flash,512,1,128,2,1.9787,0.0718,1532.9
flash,512,1,128,3,1.9797,0.0722,1532.9
mem_efficient,512,1,128,1,1.9729,0.072,1532.88
mem_efficient,512,1,128,2,1.9932,0.0731,1532.88
mem_efficient,512,1,128,3,1.966,0.0735,1532.88
math,512,1,128,1,2.7782,0.1237,1560.04
math,512,1,128,2,2.7742,0.1248,1560.05
math,512,1,128,3,2.7409,0.1246,1560.05
flash,512,2,128,1,2.552,0.1403,1593.63
flash,512,2,128,2,2.5523,0.1417,1593.64
flash,512,2,128,3,2.5514,0.1417,1593.64
mem_efficient,512,2,128,1,2.525,0.1427,1593.63
mem_efficient,512,2,128,2,2.5195,0.1441,1593.64
mem_efficient,512,2,128,3,2.523,0.1443,1593.64
math,512,2,128,1,3.9911,0.2474,1677.32
math,512,2,128,2,3.9918,0.2486,1677.33
math,512,2,128,3,4.0034,0.2488,1677.33
flash,512,4,128,1,3.5836,0.263,1744.95
flash,512,4,128,2,3.5829,0.2648,1744.96
flash,512,4,128,3,3.5811,0.265,1744.96
mem_efficient,512,4,128,1,3.5001,0.268,1744.94
mem_efficient,512,4,128,2,3.4944,0.2698,1744.96
mem_efficient,512,4,128,3,3.494,0.2699,1744.96
math,512,4,128,1,6.351,0.473,1911.86
math,512,4,128,2,6.5687,0.4743,1911.88
math,512,4,128,3,6.7879,0.4747,1911.88
flash,1024,1,128,1,2.4032,0.1446,1580.36
flash,1024,1,128,2,2.4015,0.1456,1580.37
flash,1024,1,128,3,2.4013,0.1457,1580.37
mem_efficient,1024,1,128,1,2.4047,0.1491,1580.34
mem_efficient,1024,1,128,2,2.404,0.1504,1580.35
mem_efficient,1024,1,128,3,2.4008,0.1503,1580.35
math,1024,1,128,1,3.9039,0.3358,1752.32
math,1024,1,128,2,3.9025,0.3366,1752.33
math,1024,1,128,3,3.9025,0.3364,1752.33
flash,1024,2,128,1,3.4679,0.2707,1718.84
flash,1024,2,128,2,3.4659,0.2724,1718.85
flash,1024,2,128,3,3.4651,0.2725,1718.85
mem_efficient,1024,2,128,1,3.3751,0.281,1718.84
mem_efficient,1024,2,128,2,3.3732,0.282,1718.85
mem_efficient,1024,2,128,3,3.3731,0.282,1718.85
math,1024,2,128,1,6.2696,0.6515,2058.87
math,1024,2,128,2,6.2676,0.6527,2058.89
math,1024,2,128,3,6.2681,0.6526,2058.89
flash,1024,4,128,1,5.4209,0.5296,1995.9
flash,1024,4,128,2,5.4163,0.5306,1995.93
flash,1024,4,128,3,5.4195,0.5304,1995.93
mem_efficient,1024,4,128,1,5.1994,0.5486,1995.9
mem_efficient,1024,4,128,2,5.2002,0.5501,1995.93
mem_efficient,1024,4,128,3,5.2019,0.5502,1995.93
math,1024,4,128,1,10.9466,1.2846,2671.96
math,1024,4,128,2,10.9547,1.2857,2672.0
math,1024,4,128,3,10.9462,1.2852,2672.0
