backend,cache_len,median_prefill_s,median_per_token_decode_ms,total_decode_s,decode_tokens,num_runs
flash,256,0.0192,20.628,0.3094,16,5
mem_efficient,256,0.0192,20.353,0.3053,16,5
math,256,0.03,32.834,0.4925,16,5
flash,512,0.0287,36.921,0.5538,16,5
mem_efficient,512,0.0287,36.569,0.5485,16,5
math,512,0.068,79.025,1.1854,16,5
flash,768,0.0447,47.422,0.7113,16,5
mem_efficient,768,0.045,47.243,0.7086,16,5
math,768,0.1287,135.772,2.0366,16,5
flash,1024,0.06,64.055,0.9608,16,5
mem_efficient,1024,0.0609,64.317,0.9648,16,5
math,1024,0.2083,216.037,3.2406,16,5
flash,1536,0.0911,93.038,1.3956,16,5
mem_efficient,1536,0.093,93.762,1.4064,16,5
math,1536,0.4133,421.677,6.3252,16,5
flash,1800,0.1135,113.6,1.704,16,5
mem_efficient,1800,0.1155,115.484,1.7323,16,5
math,1800,0.5609,564.331,8.465,16,5
