backend,seq_len,max_new_tokens,median_latency_s,median_ttft_s,decode_time_s,median_tokens_per_sec,decode_tokens_per_sec,median_peak_memory_mb,num_runs
flash,512,32,0.2458,0.0307,0.2151,130.18,148.77,718.89,5
mem_efficient,512,32,0.2438,0.0304,0.2134,131.26,149.95,718.89,5
math,512,32,0.3568,0.0689,0.2879,89.7,111.15,738.77,5
flash,512,64,0.4702,0.0303,0.4399,136.12,145.49,718.89,5
mem_efficient,512,64,0.4656,0.03,0.4356,137.47,146.92,718.89,5
math,512,64,0.6604,0.0689,0.5915,96.91,108.2,738.77,5
flash,512,128,0.9245,0.0299,0.8946,138.45,143.08,718.89,5
mem_efficient,512,128,0.916,0.0304,0.8856,139.73,144.53,718.89,5
math,512,128,1.2838,0.0688,1.215,99.7,105.35,738.77,5
flash,512,256,1.8508,0.0301,1.8207,138.32,140.61,718.89,5
mem_efficient,512,256,1.844,0.03,1.814,138.83,141.12,718.89,5
math,512,256,2.6026,0.0689,2.5337,98.36,101.04,738.77,5
