backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,32,1,0.2482,0.0291,718.88
flash,512,1,32,2,0.2458,0.0297,718.89
flash,512,1,32,3,0.2458,0.0307,718.89
flash,512,1,32,4,0.2458,0.0308,718.89
flash,512,1,32,5,0.2453,0.0322,718.89
mem_efficient,512,1,32,1,0.2467,0.0292,718.88
mem_efficient,512,1,32,2,0.2435,0.0298,718.89
mem_efficient,512,1,32,3,0.2439,0.0305,718.89
mem_efficient,512,1,32,4,0.2438,0.0304,718.89
mem_efficient,512,1,32,5,0.2437,0.0304,718.89
math,512,1,32,1,0.3577,0.0683,738.77
math,512,1,32,2,0.3565,0.0687,738.77
math,512,1,32,3,0.3567,0.0689,738.77
math,512,1,32,4,0.3568,0.0689,738.77
math,512,1,32,5,0.3568,0.0692,738.77
flash,512,1,64,1,0.4733,0.0291,718.88
flash,512,1,64,2,0.4701,0.0291,718.89
flash,512,1,64,3,0.4702,0.0303,718.89
flash,512,1,64,4,0.4697,0.0305,718.89
flash,512,1,64,5,0.4704,0.0305,718.89
mem_efficient,512,1,64,1,0.4688,0.0291,718.88
mem_efficient,512,1,64,2,0.465,0.0296,718.89
mem_efficient,512,1,64,3,0.4656,0.03,718.89
mem_efficient,512,1,64,4,0.4656,0.0303,718.89
mem_efficient,512,1,64,5,0.4656,0.0305,718.89
math,512,1,64,1,0.6617,0.0683,738.77
math,512,1,64,2,0.6606,0.0688,738.77
math,512,1,64,3,0.6604,0.0689,738.77
math,512,1,64,4,0.6604,0.0689,738.77
math,512,1,64,5,0.6603,0.069,738.77
flash,512,1,128,1,0.9271,0.0292,718.88
flash,512,1,128,2,0.925,0.0294,718.89
flash,512,1,128,3,0.9242,0.0299,718.89
flash,512,1,128,4,0.9245,0.0302,718.89
flash,512,1,128,5,0.9237,0.0304,718.89
mem_efficient,512,1,128,1,0.9192,0.0293,718.88
mem_efficient,512,1,128,2,0.916,0.0291,718.89
mem_efficient,512,1,128,3,0.9168,0.0304,718.89
mem_efficient,512,1,128,4,0.9158,0.0304,718.89
mem_efficient,512,1,128,5,0.9159,0.0305,718.89
math,512,1,128,1,1.2843,0.0682,738.77
math,512,1,128,2,1.2838,0.0687,738.77
math,512,1,128,3,1.2845,0.0688,738.77
math,512,1,128,4,1.2833,0.0689,738.77
math,512,1,128,5,1.2837,0.0689,738.77
flash,512,1,256,1,1.8555,0.0292,718.88
flash,512,1,256,2,1.8505,0.0294,718.89
flash,512,1,256,3,1.8508,0.0301,718.89
flash,512,1,256,4,1.8527,0.0305,718.89
flash,512,1,256,5,1.8506,0.0306,718.89
mem_efficient,512,1,256,1,1.8468,0.0292,718.88
mem_efficient,512,1,256,2,1.844,0.0297,718.89
mem_efficient,512,1,256,3,1.8437,0.03,718.89
mem_efficient,512,1,256,4,1.8451,0.0303,718.89
mem_efficient,512,1,256,5,1.8435,0.0304,718.89
math,512,1,256,1,2.626,0.0685,738.77
math,512,1,256,2,2.6026,0.0689,738.77
math,512,1,256,3,2.6034,0.0688,738.77
math,512,1,256,4,2.6022,0.0689,738.77
math,512,1,256,5,2.6012,0.0689,738.77
