backend,seq_len,batch_size,median_latency_s,median_ttft_s,decode_time_s,decode_tokens_per_sec,median_peak_memory_mb,max_new_tokens,num_runs
flash,512,1,0.9244,0.0304,0.894,143.18,718.89,128,5
mem_efficient,512,1,0.9161,0.0306,0.8855,144.55,718.89,128,5
math,512,1,1.2842,0.0689,1.2153,105.32,738.77,128,5
flash,512,2,1.1382,0.0584,1.0798,237.08,764.74,128,5
mem_efficient,512,2,1.0855,0.0589,1.0266,249.37,764.74,128,5
math,512,2,1.8022,0.1375,1.6647,153.78,834.8,128,5
flash,512,4,1.5412,0.1115,1.4297,358.12,887.56,128,5
mem_efficient,512,4,1.4312,0.1116,1.3196,388.0,887.56,128,5
math,512,4,2.7907,0.2649,2.5258,202.71,1026.86,128,5
flash,1024,1,1.0753,0.0602,1.0151,126.1,761.79,128,5
mem_efficient,1024,1,1.1033,0.0611,1.0422,122.82,761.79,128,5
math,1024,1,1.8155,0.2079,1.6076,79.62,909.8,128,5
flash,1024,2,1.4832,0.1146,1.3686,187.05,881.83,128,5
mem_efficient,1024,2,1.4058,0.1163,1.2895,198.53,881.83,128,5
math,1024,2,2.8439,0.4054,2.4385,104.98,1173.86,128,5
flash,1024,4,2.2323,0.2264,2.0059,255.25,1121.91,128,5
mem_efficient,1024,4,2.0573,0.2296,1.8277,280.13,1121.91,128,5
math,1024,4,4.8606,0.8051,4.0555,126.25,1701.97,128,5
