backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,128,1,0.9276,0.0292,718.88
flash,512,1,128,2,0.9244,0.0291,718.89
flash,512,1,128,3,0.924,0.0305,718.89
flash,512,1,128,4,0.9243,0.0304,718.89
flash,512,1,128,5,0.9245,0.0304,718.89
mem_efficient,512,1,128,1,0.9191,0.0293,718.88
mem_efficient,512,1,128,2,0.9156,0.0296,718.89
mem_efficient,512,1,128,3,0.9161,0.0308,718.89
mem_efficient,512,1,128,4,0.9157,0.031,718.89
mem_efficient,512,1,128,5,0.9164,0.0306,718.89
math,512,1,128,1,1.2857,0.0683,738.77
math,512,1,128,2,1.2846,0.069,738.77
math,512,1,128,3,1.2842,0.0688,738.77
math,512,1,128,4,1.2838,0.0689,738.77
math,512,1,128,5,1.284,0.069,738.77
flash,512,2,128,1,1.1403,0.0569,764.73
flash,512,2,128,2,1.1379,0.0579,764.74
flash,512,2,128,3,1.1382,0.0585,764.74
flash,512,2,128,4,1.1378,0.0584,764.74
flash,512,2,128,5,1.1387,0.0584,764.74
mem_efficient,512,2,128,1,1.0873,0.0569,764.73
mem_efficient,512,2,128,2,1.0859,0.0586,764.74
mem_efficient,512,2,128,3,1.0854,0.0589,764.74
mem_efficient,512,2,128,4,1.0847,0.0589,764.74
mem_efficient,512,2,128,5,1.0855,0.059,764.74
math,512,2,128,1,1.8031,0.1367,834.79
math,512,2,128,2,1.8022,0.1375,834.8
math,512,2,128,3,1.802,0.1375,834.8
math,512,2,128,4,1.8025,0.1376,834.8
math,512,2,128,5,1.8016,0.1374,834.8
flash,512,4,128,1,1.5453,0.1086,887.54
flash,512,4,128,2,1.5411,0.1115,887.56
flash,512,4,128,3,1.5412,0.1116,887.56
flash,512,4,128,4,1.5411,0.1115,887.56
flash,512,4,128,5,1.5417,0.1112,887.56
mem_efficient,512,4,128,1,1.434,0.1087,887.54
mem_efficient,512,4,128,2,1.4309,0.1115,887.56
mem_efficient,512,4,128,3,1.4312,0.1118,887.56
mem_efficient,512,4,128,4,1.4313,0.1117,887.56
mem_efficient,512,4,128,5,1.4304,0.1116,887.56
math,512,4,128,1,2.7922,0.2641,1026.84
math,512,4,128,2,2.7907,0.2649,1026.86
math,512,4,128,3,2.7896,0.2649,1026.86
math,512,4,128,4,2.7902,0.2648,1026.86
math,512,4,128,5,2.7916,0.2652,1026.86
flash,1024,1,128,1,1.077,0.0587,761.78
flash,1024,1,128,2,1.0753,0.06,761.79
flash,1024,1,128,3,1.0753,0.0602,761.79
flash,1024,1,128,4,1.0754,0.0605,761.79
flash,1024,1,128,5,1.0753,0.0604,761.79
mem_efficient,1024,1,128,1,1.1061,0.0595,761.78
mem_efficient,1024,1,128,2,1.1027,0.0605,761.79
mem_efficient,1024,1,128,3,1.104,0.0611,761.79
mem_efficient,1024,1,128,4,1.1029,0.0611,761.79
mem_efficient,1024,1,128,5,1.1033,0.0614,761.79
math,1024,1,128,1,1.8164,0.2072,909.8
math,1024,1,128,2,1.8161,0.2081,909.8
math,1024,1,128,3,1.8155,0.2079,909.8
math,1024,1,128,4,1.8148,0.2081,909.8
math,1024,1,128,5,1.8147,0.2078,909.8
flash,1024,2,128,1,1.4869,0.1131,881.81
flash,1024,2,128,2,1.4826,0.1158,881.83
flash,1024,2,128,3,1.4832,0.1151,881.83
flash,1024,2,128,4,1.4845,0.1146,881.83
flash,1024,2,128,5,1.483,0.1146,881.83
mem_efficient,1024,2,128,1,1.4079,0.1142,881.81
mem_efficient,1024,2,128,2,1.4064,0.1174,881.83
mem_efficient,1024,2,128,3,1.4054,0.1167,881.83
mem_efficient,1024,2,128,4,1.4058,0.1163,881.83
mem_efficient,1024,2,128,5,1.4049,0.1163,881.83
math,1024,2,128,1,2.8449,0.4049,1173.84
math,1024,2,128,2,2.8439,0.4055,1173.86
math,1024,2,128,3,2.8431,0.4055,1173.86
math,1024,2,128,4,2.8447,0.4054,1173.86
math,1024,2,128,5,2.8437,0.4054,1173.86
flash,1024,4,128,1,2.235,0.2245,1121.87
flash,1024,4,128,2,2.2323,0.2264,1121.91
flash,1024,4,128,3,2.2322,0.2264,1121.91
flash,1024,4,128,4,2.233,0.2268,1121.91
flash,1024,4,128,5,2.2315,0.2266,1121.91
mem_efficient,1024,4,128,1,2.0632,0.2271,1121.87
mem_efficient,1024,4,128,2,2.057,0.2296,1121.91
mem_efficient,1024,4,128,3,2.0573,0.2298,1121.91
mem_efficient,1024,4,128,4,2.0568,0.2298,1121.91
mem_efficient,1024,4,128,5,2.0582,0.2296,1121.91
math,1024,4,128,1,4.8617,0.8046,1701.94
math,1024,4,128,2,4.8608,0.8055,1701.97
math,1024,4,128,3,4.86,0.8051,1701.97
math,1024,4,128,4,4.8597,0.8051,1701.97
math,1024,4,128,5,4.8606,0.8051,1701.97
