backend,kv_len,run,latency_ms,peak_memory_mb
flash,128,1,0.0373,9.63
flash,128,2,0.0352,9.63
flash,128,3,0.0311,9.63
flash,128,4,0.0319,9.63
flash,128,5,0.0316,9.63
mem_efficient,128,1,0.0272,9.63
mem_efficient,128,2,0.0298,9.63
mem_efficient,128,3,0.0269,9.63
mem_efficient,128,4,0.0271,9.63
mem_efficient,128,5,0.0263,9.63
math,128,1,0.0989,11.14
math,128,2,0.0982,11.14
math,128,3,0.0922,11.14
math,128,4,0.09,11.14
math,128,5,0.0945,11.14
flash,256,1,0.0325,10.13
flash,256,2,0.0332,10.13
flash,256,3,0.0329,10.13
flash,256,4,0.0321,10.13
flash,256,5,0.031,10.13
mem_efficient,256,1,0.029,10.13
mem_efficient,256,2,0.0299,10.13
mem_efficient,256,3,0.0293,10.13
mem_efficient,256,4,0.0293,10.13
mem_efficient,256,5,0.0296,10.13
math,256,1,0.0984,13.15
math,256,2,0.0944,13.15
math,256,3,0.0893,13.15
math,256,4,0.088,13.15
math,256,5,0.1007,13.15
flash,512,1,0.0452,11.14
flash,512,2,0.0481,11.14
flash,512,3,0.0457,11.14
flash,512,4,0.0457,11.14
flash,512,5,0.046,11.14
mem_efficient,512,1,0.0431,11.13
mem_efficient,512,2,0.045,11.13
mem_efficient,512,3,0.0449,11.13
mem_efficient,512,4,0.0442,11.13
mem_efficient,512,5,0.0431,11.13
math,512,1,0.1379,17.17
math,512,2,0.1398,17.17
math,512,3,0.1381,17.17
math,512,4,0.1387,17.17
math,512,5,0.1382,17.17
flash,1024,1,0.0592,13.14
flash,1024,2,0.0596,13.14
flash,1024,3,0.0634,13.14
flash,1024,4,0.0599,13.14
flash,1024,5,0.0597,13.14
mem_efficient,1024,1,0.0682,13.13
mem_efficient,1024,2,0.07,13.13
mem_efficient,1024,3,0.0694,13.13
mem_efficient,1024,4,0.0685,13.13
mem_efficient,1024,5,0.0674,13.13
math,1024,1,0.239,25.2
math,1024,2,0.2389,25.2
math,1024,3,0.2428,25.2
math,1024,4,0.2379,25.2
math,1024,5,0.237,25.2
flash,1536,1,0.0892,16.01
flash,1536,2,0.075,16.01
flash,1536,3,0.0731,16.01
flash,1536,4,0.0728,16.01
flash,1536,5,0.075,16.01
mem_efficient,1536,1,0.0906,16.0
mem_efficient,1536,2,0.0924,16.0
mem_efficient,1536,3,0.0907,16.0
mem_efficient,1536,4,0.0964,16.0
mem_efficient,1536,5,0.0921,16.0
math,1536,1,0.3404,34.1
math,1536,2,0.3389,34.1
math,1536,3,0.3412,34.1
math,1536,4,0.3395,34.1
math,1536,5,0.3384,34.1
flash,2048,1,0.1015,17.14
flash,2048,2,0.0865,17.14
flash,2048,3,0.086,17.14
flash,2048,4,0.0832,17.14
flash,2048,5,0.0843,17.14
mem_efficient,2048,1,0.1141,17.13
mem_efficient,2048,2,0.1167,17.13
mem_efficient,2048,3,0.1156,17.13
mem_efficient,2048,4,0.1142,17.13
mem_efficient,2048,5,0.114,17.13
math,2048,1,0.4397,41.26
math,2048,2,0.4363,41.26
math,2048,3,0.4374,41.26
math,2048,4,0.4362,41.26
math,2048,5,0.4419,41.26
