backend,seq_len,batch_size,max_new_tokens,run,latency_s,ttft_s,peak_memory_mb
flash,512,1,128,1,0.928,0.0292,718.88
flash,512,1,128,2,0.9247,0.0294,718.89
flash,512,1,128,3,0.924,0.0302,718.89
flash,512,1,128,4,0.9245,0.0305,718.89
flash,512,1,128,5,0.9244,0.0306,718.89
mem_efficient,512,1,128,1,0.9195,0.0292,718.88
mem_efficient,512,1,128,2,0.9159,0.0291,718.89
mem_efficient,512,1,128,3,0.9161,0.0305,718.89
mem_efficient,512,1,128,4,0.9163,0.0305,718.89
mem_efficient,512,1,128,5,0.9166,0.0305,718.89
math,512,1,128,1,1.2856,0.0683,738.77
math,512,1,128,2,1.2841,0.0689,738.77
math,512,1,128,3,1.2837,0.069,738.77
math,512,1,128,4,1.2842,0.069,738.77
math,512,1,128,5,1.284,0.0691,738.77
flash,1024,1,128,1,1.0771,0.0586,761.78
flash,1024,1,128,2,1.0758,0.0602,761.79
flash,1024,1,128,3,1.0755,0.0604,761.79
flash,1024,1,128,4,1.0747,0.0603,761.79
flash,1024,1,128,5,1.0752,0.0602,761.79
mem_efficient,1024,1,128,1,1.1047,0.0596,761.78
mem_efficient,1024,1,128,2,1.1028,0.0608,761.79
mem_efficient,1024,1,128,3,1.1023,0.0611,761.79
mem_efficient,1024,1,128,4,1.1028,0.0611,761.79
mem_efficient,1024,1,128,5,1.1019,0.061,761.79
math,1024,1,128,1,1.8167,0.207,909.8
math,1024,1,128,2,1.8149,0.208,909.8
math,1024,1,128,3,1.8145,0.2082,909.8
math,1024,1,128,4,1.8147,0.2079,909.8
math,1024,1,128,5,1.8145,0.2082,909.8
flash,1800,1,128,1,1.3218,0.1117,853.72
flash,1800,1,128,2,1.3178,0.1138,853.73
flash,1800,1,128,3,1.3197,0.1135,853.73
flash,1800,1,128,4,1.3181,0.1139,853.73
flash,1800,1,128,5,1.3182,0.1139,853.73
mem_efficient,1800,1,128,1,1.3994,0.1136,853.72
mem_efficient,1800,1,128,2,1.3964,0.1157,853.73
mem_efficient,1800,1,128,3,1.3966,0.116,853.73
mem_efficient,1800,1,128,4,1.3953,0.1193,853.73
mem_efficient,1800,1,128,5,1.3968,0.1155,853.73
math,1800,1,128,1,2.7531,0.5606,1311.54
math,1800,1,128,2,2.7513,0.5615,1311.56
math,1800,1,128,3,2.7514,0.5613,1311.56
math,1800,1,128,4,2.7534,0.561,1311.56
math,1800,1,128,5,2.7507,0.5612,1311.56
