backend,kv_len,median_latency_ms,median_peak_memory_mb,theoretical_kv_cache_mb,theoretical_attn_matrix_mb,num_runs
flash,256,0.036,10.13,24.0,0.0156,5
mem_efficient,256,0.03,10.13,24.0,0.0156,5
math,256,0.09,13.15,24.0,0.0156,5
flash,512,0.046,11.14,48.0,0.0312,5
mem_efficient,512,0.043,11.13,48.0,0.0312,5
math,512,0.138,17.17,48.0,0.0312,5
flash,1024,0.059,13.14,96.0,0.0625,5
mem_efficient,1024,0.067,13.13,96.0,0.0625,5
math,1024,0.238,25.2,96.0,0.0625,5
flash,1536,0.074,16.01,144.0,0.0938,5
mem_efficient,1536,0.09,16.0,144.0,0.0938,5
math,1536,0.338,34.1,144.0,0.0938,5
flash,2048,0.084,17.14,192.0,0.125,5
mem_efficient,2048,0.115,17.13,192.0,0.125,5
math,2048,0.436,41.26,192.0,0.125,5
