backend,kv_len,dtype,median_latency_ms,median_peak_memory_mb,kv_data_mb,std_latency_ms,bytes_per_elem,num_runs
flash,128,float16,0.03,0.51,0.5,0.007,2,5
mem_efficient,128,float16,0.028,0.5,0.5,0.006,2,5
math,128,float16,0.101,10.14,0.5,0.02,2,5
mem_efficient,128,float32,0.05,9.13,1.0,0.002,4,5
math,128,float32,0.069,9.64,1.0,0.003,4,5
flash,256,float16,0.037,9.13,1.0,0.001,2,5
mem_efficient,256,float16,0.034,9.13,1.0,0.0,2,5
math,256,float16,0.099,12.15,1.0,0.011,2,5
mem_efficient,256,float32,0.08,10.13,2.0,0.001,4,5
math,256,float32,0.068,11.15,2.0,0.002,4,5
flash,512,float16,0.05,10.14,2.0,0.001,2,5
mem_efficient,512,float16,0.052,10.13,2.0,0.001,2,5
math,512,float16,0.149,16.17,2.0,0.003,2,5
mem_efficient,512,float32,0.137,12.13,4.0,0.005,4,5
math,512,float32,0.096,14.16,4.0,0.008,4,5
flash,1024,float16,0.065,12.14,4.0,0.001,2,5
mem_efficient,1024,float16,0.084,12.13,4.0,0.002,2,5
math,1024,float16,0.253,24.2,4.0,0.002,2,5
mem_efficient,1024,float32,0.249,16.13,8.0,0.001,4,5
math,1024,float32,0.155,20.2,8.0,0.001,4,5
flash,1536,float16,0.08,14.14,6.0,0.001,2,5
mem_efficient,1536,float16,0.115,14.13,6.0,0.002,2,5
math,1536,float16,0.353,32.23,6.0,0.002,2,5
mem_efficient,1536,float32,0.363,20.13,12.0,0.001,4,5
math,1536,float32,0.213,26.23,12.0,0.001,4,5
flash,2048,float16,0.093,16.14,8.0,0.001,2,5
mem_efficient,2048,float16,0.145,16.13,8.0,0.001,2,5
math,2048,float16,0.451,40.26,8.0,0.001,2,5
mem_efficient,2048,float32,0.476,24.13,16.0,0.001,4,5
math,2048,float32,0.27,32.26,16.0,0.001,4,5
