dtype,backend,cache_len,median_prefill_s,median_per_token_decode_ms,peak_memory_mb
float16,flash,256,0.0192,20.626,671.75
float16,math,256,0.0299,32.793,681.0
float16,flash,512,0.0287,36.817,719.89
float16,math,512,0.0677,78.677,738.77
float16,flash,1024,0.0594,63.356,761.78
float16,math,1024,0.2066,214.155,909.8
float16,flash,1800,0.1125,112.641,853.23
float16,math,1800,0.5596,563.089,1311.06
float32,math,256,0.0568,67.041,1342.62
float32,math,512,0.1231,133.019,1415.57
float32,math,1024,0.3017,314.32,1632.6
float32,math,1800,0.7006,703.96,2104.53
